pos,n,train_acc,cv_acc,auc,layer,is_context
24,30,0.9666666666666667,0.9,0.9977678571428572,12,True
25,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,12,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,12,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
28,30,0.9666666666666667,0.9,0.9977678571428571,12,True
29,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
31,30,0.9666666666666667,0.9,0.9977678571428572,12,True
32,30,0.9666666666666667,0.9,0.9977678571428571,12,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
34,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
35,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
36,30,1.0,0.9666666666666667,1.0,12,True
37,30,1.0,0.9666666666666667,1.0,12,True
38,30,1.0,0.9666666666666667,1.0,12,True
39,30,1.0,0.9333333333333332,1.0,12,True
40,30,1.0,0.8666666666666667,1.0,12,False
41,30,1.0,0.8333333333333334,1.0,12,False
42,30,1.0,0.9,1.0,12,False
43,30,1.0,0.8666666666666667,1.0,12,False
44,30,1.0,0.8666666666666667,1.0,12,False
45,30,1.0,0.8333333333333334,1.0,12,False
46,30,1.0,0.9,1.0,12,False
47,30,1.0,0.8333333333333334,1.0,12,False
48,30,1.0,0.7999999999999999,1.0,12,False
49,30,1.0,0.9333333333333332,1.0,12,False
50,30,1.0,0.9,1.0,12,False
51,30,1.0,0.9,1.0,12,False
52,30,1.0,0.9333333333333332,1.0,12,False
53,30,1.0,0.9666666666666667,1.0,12,False
54,30,1.0,0.9333333333333332,1.0,12,False
55,30,1.0,0.9,1.0,12,False
56,30,1.0,0.9333333333333332,1.0,12,False
57,30,1.0,0.9666666666666667,1.0,12,False
58,30,1.0,0.9666666666666667,1.0,12,False
59,30,1.0,0.9333333333333332,1.0,12,False
60,30,1.0,0.9666666666666667,1.0,12,False
61,30,1.0,0.8666666666666667,1.0,12,False
62,30,1.0,0.9666666666666667,1.0,12,False
63,30,1.0,0.8666666666666667,1.0,12,False
64,30,0.9666666666666667,0.9666666666666667,1.0,12,False
65,30,1.0,0.9,1.0,12,False
66,27,0.9629629629629629,0.9259259259259259,1.0,12,False
67,24,0.9583333333333334,0.9166666666666666,1.0,12,False
68,23,0.9565217391304348,0.875,1.0,12,False
0,30,0.5333333333333333,0.5333333333333333,0.5,14,True
1,30,0.5333333333333333,0.5333333333333333,0.5,14,True
2,30,0.5333333333333333,0.5333333333333333,0.5,14,True
3,30,0.5333333333333333,0.5333333333333333,0.5,14,True
4,30,0.5333333333333333,0.5333333333333333,0.5,14,True
5,30,0.5333333333333333,0.5333333333333333,0.5,14,True
